,error_ractions,error_info
67,>>C12(C(=O)O)CC(CNc3ccc(c4c(F)cccc4C(F)(F)F)cn3)(CC1)CC2,Ignored this reaction
68,>>c1(ccccc1c2ccc(NCCN3CCN(c4cccc(Cl)c4)CC3)nc2)C(F)(F)F,Ignored this reaction
69,>>c1(ccccc1C(F)(F)F)c2ccc(NC3CCOCC3)nc2,Ignored this reaction
70,>>c1(ccccc1c2ccc(NCCN3CCN(c4nccc(C(F)(F)F)n4)CC3)nc2)C(F)(F)F,Ignored this reaction
71,>>c1(ccccc1c2ccc(NCC3CC3)nc2)C(F)(F)F,Ignored this reaction
72,>>c1(cc(OCCCC(=O)O)ccc1c2ccc(NCC3CCCCC3)nc2)C(F)(F)F,Ignored this reaction
73,>>c1(ccc(c2cccc(C(=O)O)c2)cc1C(F)(F)F)c3ccc(NCC4CCCCC4)nc3,Ignored this reaction
74,>>c1(cc(C(=O)NCC2CCCCC2)ccc1c3ccc(NCC4CCCCC4)nc3)C(F)(F)F,Ignored this reaction
75,>>c1(ccc(C(N)=O)cc1C(F)(F)F)c2ccc(NCC3CCCCC3)nc2,Ignored this reaction
76,>>c1(c(F)cccc1C(F)(F)F)c2ccc(NCCC3CCC(C(=O)O)CC3)nc2,Ignored this reaction
77,>>c1(nn(c2ccc(CO[Si](C)(C)C(C)(C)C)cc2)cc1Sc3ccc(Cl)cc3)c4ccc(c5ncon5)cc4,Ignored this reaction
78,>>c1(nn(c2ncccc2OC)cc1Sc3ccc(Cl)cc3)c4ccc(c5ncon5)cc4,Ignored this reaction
79,>>c1(nn(c2cncc(OC)c2)cc1Sc3ccc(Cl)cc3)c4ccc(c5ncon5)cc4,Ignored this reaction
80,>>c1(nn(c2ccc(OC)nc2)cc1Sc3ccc(Cl)cc3)c4ccc(c5ncon5)cc4,Ignored this reaction
81,>>c1(nn(c2ccc(F)cc2)cc1Sc3ccc(Cl)cc3)c4ccc(c5ncon5)cc4F,Ignored this reaction
82,>>c1(nn(c2ccc(F)cc2)cc1Sc3ccc(Cl)cc3)c4ccc(c5ncon5)c(Cl)c4,Ignored this reaction
83,>>c1(nn(c2cccnc2)cc1Sc3ccc(Cl)cc3)c4ccc(c5ncon5)c(F)c4,Ignored this reaction
84,>>c1(nn(c2ccccc2)cc1Sc3ccc(Cl)cc3)c4ccc(S(C)(=O)=O)cc4,Ignored this reaction
85,>>c1(nn(c2cccnc2)cc1Sc3ccc(Cl)cc3)c4ccc(S(C)(=O)=O)cc4,Ignored this reaction
86,>>c1(nn(c2cncc(F)c2)cc1Sc3ccc(Cl)cc3)c4ccc(C(=O)OC)cc4,Ignored this reaction
87,>>c1(nn(c2ccccn2)cc1Sc3ccc(Cl)cc3)c4ccc(S(C)(=O)=O)cc4,Ignored this reaction
88,>>c1(nn(c2cccnc2)cc1Sc3ccc(Cl)cc3)c4ccc(C(=O)OC)c(F)c4,Ignored this reaction
89,>>c1(nn(c2ccccn2)cc1Sc3ccc(Cl)cc3)c4ccc(C(=O)OC)c(F)c4,Ignored this reaction
90,>>c1(nn(c2ccncc2)cc1Sc3ccc(Cl)cc3)c4ccc(S(C)(=O)=O)cc4,Ignored this reaction
91,>>c1(nn(c2cccnc2)cc1Sc3ccc(Cl)cc3)c4ccc(c5nnco5)cc4,Ignored this reaction
92,>>c1(nn(c2ccc(F)cc2)cc1Sc3ccc(Cl)cc3)c4ccc(c5nnco5)cc4F,Ignored this reaction
93,>>c1(nn(c2cccnc2)cc1Sc3ccc(Cl)cc3)c4ccc(c5nnco5)c(F)c4,Ignored this reaction
94,>>c1(nn(c2cncc(F)c2)cc1Sc3ccc(Cl)cc3)c4ccc(c5nnco5)cc4,Ignored this reaction
95,>>c1(nn(c2ccccn2)cc1Sc3ccc(Cl)cc3)c4ccc(c5nnco5)c(F)c4,Ignored this reaction
96,>>c1(nn(c2ccc(C#N)cc2)cc1Sc3ccc(Cl)cc3)c4ccc(S(C)(=O)=O)cc4,Ignored this reaction
97,>>c1(nn(c2ccccc2)cc1Sc3ccc(Cl)cc3)c4ccc(C(N)=O)cc4,Ignored this reaction
98,>>c1(nn(c2ccccc2)cc1Sc3ccc(Cl)cc3)c4cccc(C(N)=O)c4,Ignored this reaction
99,>>c1(nn(c2cccnc2)cc1Sc3ccc(Cl)cc3)c4ccc(C(N)=O)c(F)c4,Ignored this reaction
100,>>c1(nn(c2cccnc2)cc1Sc3ccc(Cl)cc3)c4ccc(C(N)=O)c(Cl)c4,Ignored this reaction
101,>>c1(nn(c2ccc(F)cc2)cc1Sc3ccc(Cl)cc3)c4ccc(C(N)=O)c(Cl)c4,Ignored this reaction
102,>>c1(nn(c2cccc(F)c2)cc1Sc3ccc(Cl)cc3)c4ccc(S(C)(=O)=O)cc4,Ignored this reaction
103,>>c1(nn(c2ccccc2)cc1Sc3ccc(Cl)cc3)c4ccc(C(=O)NC)cc4,Ignored this reaction
104,>>c1(nn(c2cccnc2)cc1Sc3ccc(Cl)cc3)c4ccc(C(=O)NCC)cc4,Ignored this reaction
105,>>c1(nn(c2cccnc2)cc1Sc3ccc(Cl)cc3)c4cccc(C(=O)NCC)c4,Ignored this reaction
106,>>c1(nn(c2ccccc2)cc1Sc3ccc(Cl)cc3)c4ccc(C(=O)N5CCCC5)cc4,Ignored this reaction
107,>>c1(nn(c2cccnc2)cc1Sc3ccc(Cl)cc3)c4ccc(C(=O)N5CCCC5)cc4,Ignored this reaction
108,>>c1(nn(c2cccnc2)cc1Sc3ccc(Cl)cc3)c4cccc(C(=O)N5CCCC5)c4,Ignored this reaction
109,>>c1(nn(c2ccccc2)cc1Sc3ccc(Cl)cc3)c4ccc(C(=O)NCCO)cc4,Ignored this reaction
110,>>c1(nn(c2cccnc2)cc1Sc3ccc(Cl)cc3)c4ccc(C(=O)OCC)cc4,Ignored this reaction
111,>>c1(nn(c2ccc(F)cc2)cc1Sc3ccc(Cl)cc3)c4ccc(C(=O)N5CCCC5)cc4F,Ignored this reaction
112,>>c1(nn(c2ccc(F)cc2)cc1Sc3ccc(Cl)cc3)c4ccc(C(=O)N5CCCC5)c(Cl)c4,Ignored this reaction
113,>>c1(nn(c2cncnc2)cc1Sc3ccc(Cl)cc3)c4ccc(S(C)(=O)=O)cc4,Ignored this reaction
114,>>c1(nn(c2ccccc2)cc1Sc3ccc(Cl)cc3)c4ccc(I)cc4,Ignored this reaction
115,>>c1(nn(c2ccccc2F)cc1Sc3ccc(Cl)cc3)c4ccc(S(C)(=O)=O)cc4,Ignored this reaction
116,>>c1(nn(c2cccnc2)cc1Sc3ccc(Cl)cc3)c4ccc(C(C)O)cc4,Ignored this reaction
117,>>c1(nn(c2cccnc2)cc1Sc3ccc(Cl)cc3)c4ccc(C(C)(C)O)cc4,Ignored this reaction
