,raw_ractions,transformed_reactions,automap
20,c1(OC)ccccc1.C(C)(C)C(=O)Cl>>c1(ccc(OC)cc1)C(=O)C(C)C,c1(ccccc1)OC.C(C(Cl)=O)(C)C>>c1(C(C(C)C)=O)ccc(OC)cc1,[c:1]1([cH:8][cH:7][cH:6][cH:5][cH:4]1)[O:2][CH3:3].[CH:9]([C:12](Cl)=[O:13])([CH3:11])[CH3:10]>>[c:6]1([C:12]([CH:9]([CH3:11])[CH3:10])=[O:13])[cH:7][cH:8][c:1]([O:2][CH3:3])[cH:4][cH:5]1
21,c1(OC)ccccc1.C(CC)C(=O)Cl>>c1(ccc(OC)cc1)C(=O)CCC,c1(ccccc1)OC.C(C(Cl)=O)CC>>c1(C(CCC)=O)ccc(OC)cc1,[c:1]1([cH:8][cH:7][cH:6][cH:5][cH:4]1)[O:2][CH3:3].[CH2:9]([C:12](Cl)=[O:13])[CH2:10][CH3:11]>>[c:6]1([C:12]([CH2:9][CH2:10][CH3:11])=[O:13])[cH:7][cH:8][c:1]([O:2][CH3:3])[cH:4][cH:5]1
22,c1(OC)ccccc1.c1(ccc(Br)cc1)C(=O)Cl>>C(=O)(c1ccc(Br)cc1)c2ccc(OC)cc2,c1(ccccc1)OC.c1(C(Cl)=O)ccc(Br)cc1>>C(c1ccc(OC)cc1)(c1ccc(Br)cc1)=O,[c:1]1([cH:8][cH:7][cH:6][cH:5][cH:4]1)[O:2][CH3:3].[c:9]1([C:16](Cl)=[O:17])[cH:15][cH:14][c:12]([Br:13])[cH:11][cH:10]1>>[C:16]([c:6]1[cH:7][cH:8][c:1]([O:2][CH3:3])[cH:4][cH:5]1)([c:9]1[cH:15][cH:14][c:12]([Br:13])[cH:11][cH:10]1)=[O:17]
23,c1(OC)ccccc1OC.C(C)(=O)Cl>>c1(OC)cc(C(C)=O)ccc1OC,c1(c(OC)cccc1)OC.C(Cl)(=O)C>>c1(c(OC)ccc(C(=O)C)c1)OC,[c:1]1([c:8]([O:9][CH3:10])[cH:7][cH:6][cH:5][cH:4]1)[O:2][CH3:3].[C:11](Cl)(=[O:13])[CH3:12]>>[c:1]1([c:8]([O:9][CH3:10])[cH:7][cH:6][c:5]([C:11](=[O:13])[CH3:12])[cH:4]1)[O:2][CH3:3]
24,c1(OC)cccc(Br)c1.C(C)(=O)Cl>>c1(Br)cc(OC)ccc1C(C)=O,c1(cc(Br)ccc1)OC.C(Cl)(=O)C>>c1(c(C(=O)C)ccc(OC)c1)Br,[c:1]1([cH:9][c:7]([Br:8])[cH:6][cH:5][cH:4]1)[O:2][CH3:3].[C:10](Cl)(=[O:12])[CH3:11]>>[c:7]1([c:6]([C:10](=[O:12])[CH3:11])[cH:5][cH:4][c:1]([O:2][CH3:3])[cH:9]1)[Br:8]
25,c1(OC)ccccc1F.C(C)(=O)Cl>>c1(C(C)=O)ccc(OC)c(F)c1,c1(c(F)cccc1)OC.C(Cl)(=O)C>>c1(cc(F)c(OC)cc1)C(=O)C,[c:1]1([c:8]([F:9])[cH:7][cH:6][cH:5][cH:4]1)[O:2][CH3:3].[C:10](Cl)(=[O:12])[CH3:11]>>[c:6]1([cH:7][c:8]([F:9])[c:1]([O:2][CH3:3])[cH:4][cH:5]1)[C:10](=[O:12])[CH3:11]
26,C(=O)(Cl)CCl.c1(OC)cccc(OC)c1>>c1(ccc(OC)cc1OC)C(=O)CCl,C(CCl)(Cl)=O.c1(cc(OC)ccc1)OC>>c1(C(CCl)=O)c(OC)cc(OC)cc1,[C:1]([CH2:4][Cl:5])(Cl)=[O:2].[c:6]1([cH:15][c:12]([O:13][CH3:14])[cH:11][cH:10][cH:9]1)[O:7][CH3:8]>>[c:11]1([C:1]([CH2:4][Cl:5])=[O:2])[c:12]([O:13][CH3:14])[cH:15][c:6]([O:7][CH3:8])[cH:9][cH:10]1
27,c1(cccs1)C(=O)Cl.c1(OC)ccccc1>>C(=O)(c1cccs1)c2ccc(OC)cc2,c1(C(Cl)=O)sccc1.c1(ccccc1)OC>>C(c1ccc(OC)cc1)(c1sccc1)=O,[c:1]1([C:6](Cl)=[O:7])[s:5][cH:4][cH:3][cH:2]1.[c:9]1([cH:16][cH:15][cH:14][cH:13][cH:12]1)[O:10][CH3:11]>>[C:6]([c:14]1[cH:15][cH:16][c:9]([O:10][CH3:11])[cH:12][cH:13]1)([c:1]1[s:5][cH:4][cH:3][cH:2]1)=[O:7]
28,c1(OC)ccccc1.c1(cccc(C(=O)Cl)c1)N(=O)=O>>c1(cccc(N(=O)=O)c1)C(=O)c2ccc(OC)cc2,c1(ccccc1)OC.c1(N(=O)=O)cc(C(Cl)=O)ccc1>>c1(C(c2ccc(OC)cc2)=O)cc(N(=O)=O)ccc1,[c:1]1([cH:8][cH:7][cH:6][cH:5][cH:4]1)[O:2][CH3:3].[c:9]1([N:18](=[O:20])=[O:19])[cH:17][c:13]([C:14](Cl)=[O:15])[cH:12][cH:11][cH:10]1>>[c:13]1([C:14]([c:6]2[cH:7][cH:8][c:1]([O:2][CH3:3])[cH:4][cH:5]2)=[O:15])[cH:17][c:9]([N:18](=[O:19])=[O:20])[cH:10][cH:11][cH:12]1
29,c1(OC)ccccc1Cl.C(C)(=O)Cl>>c1(C(C)=O)ccc(OC)c(Cl)c1,c1(c(Cl)cccc1)OC.C(Cl)(=O)C>>c1(cc(Cl)c(OC)cc1)C(=O)C,[c:1]1([c:8]([Cl:9])[cH:7][cH:6][cH:5][cH:4]1)[O:2][CH3:3].[C:10](Cl)(=[O:12])[CH3:11]>>[c:6]1([cH:7][c:8]([Cl:9])[c:1]([O:2][CH3:3])[cH:4][cH:5]1)[C:10](=[O:12])[CH3:11]
30,c12c(CCCC1)cccc2OC.C(C)(=O)Cl>>c12c(CCCC1)c(OC)ccc2C(C)=O,c12c(OC)cccc1CCCC2.C(Cl)(=O)C>>c12c(C(=O)C)ccc(OC)c1CCCC2,[c:1]12[c:10]([O:11][CH3:12])[cH:9][cH:8][cH:7][c:2]1[CH2:3][CH2:4][CH2:5][CH2:6]2.[C:13](Cl)(=[O:15])[CH3:14]>>[c:2]12[c:7]([C:13](=[O:15])[CH3:14])[cH:8][cH:9][c:10]([O:11][CH3:12])[c:1]1[CH2:6][CH2:5][CH2:4][CH2:3]2
31,c1(ccccc1)CC(=O)Cl.c1(OC)cccc(OC)c1>>c1(ccc(OC)cc1OC)C(=O)Cc2ccccc2,c1(CC(Cl)=O)ccccc1.c1(cc(OC)ccc1)OC>>c1(C(Cc2ccccc2)=O)c(OC)cc(OC)cc1,[c:1]1([CH2:7][C:8](Cl)=[O:9])[cH:6][cH:5][cH:4][cH:3][cH:2]1.[c:11]1([cH:20][c:17]([O:18][CH3:19])[cH:16][cH:15][cH:14]1)[O:12][CH3:13]>>[c:16]1([C:8]([CH2:7][c:1]2[cH:6][cH:5][cH:4][cH:3][cH:2]2)=[O:9])[c:17]([O:18][CH3:19])[cH:20][c:11]([O:12][CH3:13])[cH:14][cH:15]1
