,raw_ractions,transformed_reactions,automap
20,c12c(cccc1B(O)O)c3c(cccc3)o2.c1(ccccc1Br)N(=O)=O>>c12c(cccc1c3ccccc3N(=O)=O)c4c(cccc4)o2,c12oc3ccccc3c1cccc2B(O)O.c1(N(=O)=O)c(Br)cccc1>>c12oc3ccccc3c1cccc2-c1c(N(=O)=O)cccc1,[c:1]12[o:16][c:11]3[cH:12][cH:13][cH:14][cH:15][c:10]3[c:2]1[cH:3][cH:4][cH:5][c:6]2B(O)O.[c:17]1([N:24](=[O:26])=[O:25])[c:22](Br)[cH:21][cH:20][cH:19][cH:18]1>>[c:1]12[o:16][c:11]3[cH:12][cH:13][cH:14][cH:15][c:10]3[c:2]1[cH:3][cH:4][cH:5][c:6]2-[c:18]1[c:17]([N:24](=[O:26])=[O:25])[cH:22][cH:21][cH:20][cH:19]1
21,c1(N)ncccc1Br.c1(ccc(F)cc1)B(O)O>>c1(cccnc1N)c2ccc(F)cc2,c1(c(Br)cccn1)N.c1(B(O)O)ccc(F)cc1>>c1(-c2ccc(F)cc2)c(N)nccc1,[c:1]1([c:7](Br)[cH:6][cH:5][cH:4][n:3]1)[NH2:2].[c:9]1(B(O)O)[cH:15][cH:14][c:12]([F:13])[cH:11][cH:10]1>>[c:7]1(-[c:9]2[cH:15][cH:14][c:12]([F:13])[cH:11][cH:10]2)[c:1]([NH2:2])[n:3][cH:4][cH:5][cH:6]1
22,c1(Br)cnc(N)cn1.c1(ccccc1)B(O)O>>c1(cnc(N)cn1)c2ccccc2,c1(ncc(N)nc1)Br.c1(B(O)O)ccccc1>>c1(-c2ccccc2)ncc(N)nc1,[c:1]1([n:8][cH:7][c:5]([NH2:6])[n:4][cH:3]1)Br.[c:9]1(B(O)O)[cH:14][cH:13][cH:12][cH:11][cH:10]1>>[c:1]1(-[c:9]2[cH:14][cH:13][cH:12][cH:11][cH:10]2)[n:8][cH:7][c:5]([NH2:6])[n:4][cH:3]1
23,c1(ccccc1Br)N(=O)=O.C1(C)(C)c2c(cccc2)c(ccc(B(O)O)c3)c13>>C1(C)(C)c2c(cccc2)c(ccc(c3ccccc3N(=O)=O)c4)c14,c1(N(=O)=O)c(Br)cccc1.C1(c2cc(B(O)O)ccc2-c2ccccc12)(C)C>>C1(c2cc(-c3c(N(=O)=O)cccc3)ccc2-c2ccccc12)(C)C,[c:1]1([N:8](=[O:10])=[O:9])[c:6](Br)[cH:5][cH:4][cH:3][cH:2]1.[C:11]1([c:28]2[cH:27][c:23](B(O)O)[cH:22][cH:21][c:20]2-[c:15]2[cH:16][cH:17][cH:18][cH:19][c:14]12)([CH3:13])[CH3:12]>>[C:11]1([c:28]2[cH:27][c:23](-[c:6]3[c:1]([N:8](=[O:10])=[O:9])[cH:2][cH:3][cH:4][cH:5]3)[cH:22][cH:21][c:20]2-[c:15]2[cH:16][cH:17][cH:18][cH:19][c:14]12)([CH3:13])[CH3:12]
24,c12c(ccc(Br)c1)[nH]c(cccc3)c23.c12c(cccc1B(O)O)c3c(cccc3)o2>>c12c(cccc1c3ccc([nH]c(cccc4)c45)c5c3)c6c(cccc6)o2,c12c3ccccc3[nH]c1ccc(c2)Br.c12oc3ccccc3c1cccc2B(O)O>>c12oc3ccccc3c1cccc2-c1cc2c3ccccc3[nH]c2cc1,[c:1]12[c:14]3[cH:13][cH:12][cH:11][cH:10][c:9]3[nH:8][c:2]1[cH:3][cH:4][c:5]([cH:7]2)Br.[c:15]12[o:30][c:25]3[cH:26][cH:27][cH:28][cH:29][c:24]3[c:16]1[cH:17][cH:18][cH:19][c:20]2B(O)O>>[c:25]12[o:30][c:15]3[cH:20][cH:19][cH:18][cH:17][c:16]3[c:24]1[cH:29][cH:28][cH:27][c:26]2-[c:5]1[cH:7][c:1]2[c:14]3[cH:13][cH:12][cH:11][cH:10][c:9]3[nH:8][c:2]2[cH:3][cH:4]1
25,c1(ccccc1Br)N(=O)=O.c12c(ccc(B(O)O)c1)oc(cccc3)c23>>c12c(ccc(c3ccccc3N(=O)=O)c1)oc(cccc4)c24,c1(N(=O)=O)c(Br)cccc1.c12c3ccccc3oc1ccc(c2)B(O)O>>c12c3ccccc3oc1ccc(c2)-c1c(N(=O)=O)cccc1,[c:1]1([N:8](=[O:10])=[O:9])[c:6](Br)[cH:5][cH:4][cH:3][cH:2]1.[c:11]12[c:26]3[cH:25][cH:24][cH:23][cH:22][c:21]3[o:20][c:12]1[cH:13][cH:14][c:15]([cH:19]2)B(O)O>>[c:11]12[c:26]3[cH:25][cH:24][cH:23][cH:22][c:21]3[o:20][c:12]1[cH:13][cH:14][c:15]([cH:19]2)-[c:6]1[c:1]([N:8](=[O:10])=[O:9])[cH:2][cH:3][cH:4][cH:5]1
26,c1(ccc(Br)cc1)C(=O)O.c1(ccc(F)cc1)B(O)O>>c1(ccc(C(=O)O)cc1)c2ccc(F)cc2,c1(C(O)=O)ccc(Br)cc1.c1(B(O)O)ccc(F)cc1>>c1(-c2ccc(F)cc2)ccc(C(O)=O)cc1,[c:1]1([C:8]([OH:10])=[O:9])[cH:7][cH:6][c:4](Br)[cH:3][cH:2]1.[c:11]1(B(O)O)[cH:17][cH:16][c:14]([F:15])[cH:13][cH:12]1>>[c:4]1(-[c:11]2[cH:17][cH:16][c:14]([F:15])[cH:13][cH:12]2)[cH:6][cH:7][c:1]([C:8]([OH:10])=[O:9])[cH:2][cH:3]1
27,c1(Br)ccc(O)cc1.c1(ccc(C)cc1)B(O)O>>c1(ccc(O)cc1)c2ccc(C)cc2,c1(ccc(O)cc1)Br.c1(B(O)O)ccc(C)cc1>>c1(-c2ccc(C)cc2)ccc(O)cc1,[c:1]1([cH:8][cH:7][c:5]([OH:6])[cH:4][cH:3]1)Br.[c:9]1(B(O)O)[cH:15][cH:14][c:12]([CH3:13])[cH:11][cH:10]1>>[c:1]1(-[c:9]2[cH:15][cH:14][c:12]([CH3:13])[cH:11][cH:10]2)[cH:8][cH:7][c:5]([OH:6])[cH:4][cH:3]1
28,c1(Br)ccccc1C.c1(ccccc1C)B(O)O>>c1(ccccc1C)c2ccccc2C,c1(c(C)cccc1)Br.c1(B(O)O)c(C)cccc1>>c1(-c2c(C)cccc2)c(C)cccc1,[c:1]1([c:7]([CH3:8])[cH:6][cH:5][cH:4][cH:3]1)Br.[c:9]1(B(O)O)[c:14]([CH3:15])[cH:13][cH:12][cH:11][cH:10]1>>[c:1]1(-[c:13]2[c:14]([CH3:15])[cH:9][cH:10][cH:11][cH:12]2)[c:7]([CH3:8])[cH:6][cH:5][cH:4][cH:3]1
29,c1(cccc(Br)c1)C(=O)O.c1(ccc(C)cc1)B(O)O>>c1(cccc(C(=O)O)c1)c2ccc(C)cc2,c1(C(O)=O)cc(Br)ccc1.c1(B(O)O)ccc(C)cc1>>c1(-c2ccc(C)cc2)cc(C(O)=O)ccc1,[c:1]1([C:8]([OH:10])=[O:9])[cH:7][c:5](Br)[cH:4][cH:3][cH:2]1.[c:11]1(B(O)O)[cH:17][cH:16][c:14]([CH3:15])[cH:13][cH:12]1>>[c:5]1(-[c:11]2[cH:17][cH:16][c:14]([CH3:15])[cH:13][cH:12]2)[cH:7][c:1]([C:8]([OH:10])=[O:9])[cH:2][cH:3][cH:4]1
