,raw_ractions,transformed_reactions,automap
26,[C@@]([H])(O)([C@]([H])(O)CO)[C@]([H])(O)C(=O)CO>>c1(CCl)ccc(C=O)o1,[C@@]([C@@](C(CO)=O)(O)[H])([C@@](CO)(O)[H])(O)[H]>>c1(oc(C=O)cc1)CCl,[C@@:1]([C@@:9]([C:12](CO)=[O:13])([OH:11])[H])([C@@:4]([CH2:7]O)(O)[H])(O)[H]>>[c:7]1([o:11][c:9]([CH:12]=[O:13])[cH:1][cH:4]1)CCl
27,[C@@]([H])(O)([C@]([H])(O)CO)[C@]([H])(O)C(=O)CO>>C(=O)(O)CCC(C)=O,[C@@]([C@@](C(CO)=O)(O)[H])([C@@](CO)(O)[H])(O)[H]>>C(CCC(=O)C)(O)=O,[C@@:1]([C@@:9]([C:12]([CH2:14]O)=[O:13])(O)[H])([C@@:4](CO)([OH:6])[H])(O)[H]>>[C:4]([CH2:1][CH2:9][C:12](=[O:13])[CH3:14])([OH:6])=O
28,c12c(ccc(C)c1)NC(=O)C2=O.c1(N)ccccc1N>>c12c(nc(cccc3)c3n1)[nH]c(ccc(C)c4)c24,c12C(=O)C(=O)Nc1ccc(c2)C.c1(c(N)cccc1)N>>c12c3cc(C)ccc3[nH]c1nc1c(n2)cccc1,[c:1]12[C:11](=O)[C:9](=O)[NH:8][c:2]1[cH:3][cH:4][c:5]([cH:7]2)[CH3:6].[c:13]1([c:19]([NH2:20])[cH:18][cH:17][cH:16][cH:15]1)[NH2:14]>>[c:11]12[c:1]3[cH:7][c:5]([CH3:6])[cH:4][cH:3][c:2]3[nH:8][c:9]1[n:14][c:13]1[c:19]([n:20]2)[cH:18][cH:17][cH:16][cH:15]1
29,c1(Cl)nc(Cl)nc(Cl)n1>>c1(NN)nc(NN)nc(NN)n1,c1(nc(Cl)nc(Cl)n1)Cl>>c1(nc(NN)nc(NN)n1)NN,[c:1]1([n:9][c:7](Cl)[n:6][c:4](Cl)[n:3]1)Cl>>[c:1]1([n:9][c:7](NN)[n:6][c:4](NN)[n:3]1)NN
30,C1(=O)CCCCCCC1>>C1(=O)CCCCCCCO1,C1(CCCCCCC1)=O>>C1(OCCCCCCC1)=O,[C:1]1([CH2:9][CH2:8][CH2:7][CH2:6][CH2:5][CH2:4][CH2:3]1)=[O:2]>>[C:1]1(O[CH2:9][CH2:8][CH2:7][CH2:6][CH2:5][CH2:4][CH2:3]1)=[O:2]
31,c12c(cccc1)C(=O)C(=O)N2C.c1(N)ccccc1N>>c12c(nc(cccc3)c3n1)n(C)c(cccc4)c24,c12N(C)C(=O)C(=O)c1cccc2.c1(c(N)cccc1)N>>c12c3ccccc3[n](C)c1nc1c(n2)cccc1,[c:1]12[N:11]([CH3:12])[C:9](=O)[C:7](=O)[c:2]1[cH:3][cH:4][cH:5][cH:6]2.[c:13]1([c:19]([NH2:20])[cH:18][cH:17][cH:16][cH:15]1)[NH2:14]>>[c:7]12[c:2]3[cH:3][cH:4][cH:5][cH:6][c:1]3[n:11]([CH3:12])[c:9]1[n:14][c:13]1[c:19]([n:20]2)[cH:18][cH:17][cH:16][cH:15]1
32,c1(ccc(C=O)o1)c2ccccc2>>c1(ccc(C(=O)O)o1)c2ccccc2,c1(-c2ccccc2)oc(C=O)cc1>>c1(-c2ccccc2)oc(C(O)=O)cc1,[c:1]1(-[c:8]2[cH:13][cH:12][cH:11][cH:10][cH:9]2)[o:7][c:4]([CH:5]=[O:6])[cH:3][cH:2]1>>[c:1]1(-[c:8]2[cH:9][cH:10][cH:11][cH:12][cH:13]2)[o:7][c:4]([C:5](O)=[O:6])[cH:3][cH:2]1
33,c1(CO)cc(N(=O)=O)ccc1O>>c1(CO)cc(N)ccc1O,c1(c(O)ccc(N(=O)=O)c1)CO>>c1(c(O)ccc(N)c1)CO,[c:1]1([c:11]([OH:12])[cH:10][cH:9][c:5](N(=O)=O)[cH:4]1)[CH2:2][OH:3]>>[c:1]1([c:11]([OH:12])[cH:10][cH:9][c:5](N)[cH:4]1)[CH2:2][OH:3]
34,c12c(cccc1)cc(C(=O)O)o2>>c12c(cccc1)CC(C(=O)O)O2,c12oc(C(O)=O)cc1cccc2>>c12OC(C(O)=O)Cc1cccc2,[c:1]12[o:12][c:8]([C:9]([OH:11])=[O:10])[cH:7][c:2]1[cH:3][cH:4][cH:5][cH:6]2>>[c:1]12[O:12][CH:8]([C:9]([OH:11])=[O:10])[CH2:7][c:2]1[cH:3][cH:4][cH:5][cH:6]2
35,c1(O)cc(O)ccc1C(C)=O>>c1(O)cc(O)ccc1CC,c1(c(C(=O)C)ccc(O)c1)O>>c1(c(CC)ccc(O)c1)O,[c:1]1([c:8]([C:9](=O)[CH3:10])[cH:7][cH:6][c:4]([OH:5])[cH:3]1)[OH:2]>>[c:1]1([c:8]([CH2:9][CH3:10])[cH:7][cH:6][c:4]([OH:5])[cH:3]1)[OH:2]
