,raw_ractions,transformed_reactions,automap
4323,C(=O)(C=N#N)C(C)(C)C>>[Si](C)(C)(Oc1ccc(C(C)(C)C)cc1)C(C(=O)C(C)(C)C)[Si](C)(C)C,C(C(C)(C)C)(C=N#N)=O>>[Si](C([Si](C)(C)C)C(C(C)(C)C)=O)(Oc1ccc(C(C)(C)C)cc1)(C)C,[C:1]([C:6]([CH3:9])([CH3:8])[CH3:7])([CH:3]=N#N)=[O:2]>>[Si]([CH:3]([Si](C)(C)C)[C:1]([C:6]([CH3:9])([CH3:8])[CH3:7])=[O:2])(Oc1ccc(C(C)(C)C)cc1)(C)C
4324,N1(CCCC(CC)=C1)Cc2ccccc2>>C1(CC)(CCC(=O)OC(C)(C)C)CCCN(Cc2ccccc2)C1C#N,N1(Cc2ccccc2)C=C(CC)CCC1>>C1(C(C#N)N(Cc2ccccc2)CCC1)(CCC(OC(C)(C)C)=O)CC,[N:1]1([CH2:9][c:10]2[cH:15][cH:14][cH:13][cH:12][cH:11]2)[CH:8]=[C:5]([CH2:6][CH3:7])[CH2:4][CH2:3][CH2:2]1>>[C:5]1([CH:8](C#N)[N:1]([CH2:9][c:10]2[cH:15][cH:14][cH:13][cH:12][cH:11]2)[CH2:2][CH2:3][CH2:4]1)(CCC(OC(C)(C)C)=O)[CH2:6][CH3:7]
4325,c12c(cccc1)CCC(C(N)=O)N2>>N12C(CN=C1CC)CCc(cccc3)c23,c12NC(C(=O)N)CCc1cccc2>>N12c3ccccc3CCC1CN=C2CC,[c:1]12[NH:13][CH:9]([C:10](=O)[NH2:11])[CH2:8][CH2:7][c:2]1[cH:3][cH:4][cH:5][cH:6]2>>[N:13]12[c:1]3[cH:6][cH:5][cH:4][cH:3][c:2]3[CH2:7][CH2:8][CH:9]1[CH2:10][N:11]=C2CC
4326,c12c(cccc1)CCC(C(N)=O)N2>>N12C(CCc(cccc3)c13)CN=C2\C=C(\C)/C,c12NC(C(=O)N)CCc1cccc2>>N12C(/C=C(\C)/C)=NCC1CCc1c2cccc1,[c:1]12[NH:13][CH:9]([C:10](=O)[NH2:11])[CH2:8][CH2:7][c:2]1[cH:3][cH:4][cH:5][cH:6]2>>[N:13]12[C:6](/[CH:1]=[C:2](\[CH3:7])/[CH3:3])=[N:11][CH2:10][CH:9]1[CH2:8][CH2:7][c:2]1[c:1]2[cH:6][cH:5][cH:4][cH:3]1
4327,c12c(cccc1)CCC(C(N)=O)N2>>c12c(cccc1)CCC(CNCCCCCCCCCC)N2,c12NC(C(=O)N)CCc1cccc2>>c12NC(CNCCCCCCCCCC)CCc1cccc2,[c:1]12[NH:13][CH:9]([C:10](=O)[NH2:11])[CH2:8][CH2:7][c:2]1[cH:3][cH:4][cH:5][cH:6]2>>[c:1]12[NH:13][CH:9]([CH2:10][NH:11][CH2:1][CH2:6][CH2:5][CH2:4][CH2:3][CH2:2][CH2:7][CH2:8][CH2:9][CH3:10])[CH2:8][CH2:7][c:2]1[cH:3][cH:4][cH:5][cH:6]2
4328,c12c(cccc1)CCC(C(N)=O)N2>>c12c(cccc1)NC(CN(C)CCCCCCCCCC)CC2,c12NC(C(=O)N)CCc1cccc2>>c12CCC(CN(CCCCCCCCCC)C)Nc1cccc2,[c:1]12[NH:13][CH:9]([C:10](=O)[NH2:11])[CH2:8][CH2:7][c:2]1[cH:3][cH:4][cH:5][cH:6]2>>[c:2]12[CH2:7][CH2:8][CH:9]([CH2:10][N:11]([CH2:1][CH2:6][CH2:5][CH2:4][CH2:3][CH2:2][CH2:7][CH2:8][CH2:9][CH3:10])C)[NH:13][c:1]1[cH:6][cH:5][cH:4][cH:3]2
4329,c12c(cccc1)CCC(C(N)=O)N2>>N12C(CCc(cccc3)c13)CN=C2CCCCCCCCC,c12NC(C(=O)N)CCc1cccc2>>N12C(CCCCCCCCC)=NCC1CCc1c2cccc1,[c:1]12[NH:13][CH:9]([C:10](=O)[NH2:11])[CH2:8][CH2:7][c:2]1[cH:3][cH:4][cH:5][cH:6]2>>[N:13]12[C:1]([CH2:6][CH2:5][CH2:4][CH2:3][CH2:2][CH2:7][CH2:8][CH2:9][CH3:10])=[N:11][CH2:10][CH:9]1[CH2:8][CH2:7][c:2]1[c:1]2[cH:6][cH:5][cH:4][cH:3]1
4330,c12c(cccc1)CCC(C(N)=O)N2>>N12C(CCc(cccc3)c13)C[N+](C)=C2CCCCCCCCC.[I-],c12NC(C(=O)N)CCc1cccc2>>N12C(CCCCCCCCC)=[N+](C)CC1CCc1c2cccc1.[I-],[c:1]12[NH:13][CH:9]([C:10](=O)N)[CH2:8][CH2:7][c:2]1[cH:3][cH:4][cH:5][cH:6]2>>[N:13]12C(CCCCCCCCC)=[N+](C)[CH2:10][CH:9]1[CH2:8][CH2:7][c:2]1[c:1]2[cH:6][cH:5][cH:4][cH:3]1.[I-]
4331,c12c(cccc1)CCC(C(N)=O)N2>>N12C(CN=C1C)CCc(cccc3)c23,c12NC(C(=O)N)CCc1cccc2>>N12c3ccccc3CCC1CN=C2C,[c:1]12[NH:13][CH:9]([C:10](=O)[NH2:11])[CH2:8][CH2:7][c:2]1[cH:3][cH:4][cH:5][cH:6]2>>[N:13]12[c:1]3[cH:6][cH:5][cH:4][cH:3][c:2]3[CH2:7][CH2:8][CH:9]1[CH2:10][N:11]=C2C
4332,c12c(cccc1)CCC(C(N)=O)N2>>N12C(CCc(cccc3)c13)CN=C2CC(C)C,c12NC(C(=O)N)CCc1cccc2>>N12C(CC(C)C)=NCC1CCc1c2cccc1,[c:1]12[NH:13][CH:9]([C:10](=O)[NH2:11])[CH2:8][CH2:7][c:2]1[cH:3][cH:4][cH:5][cH:6]2>>[N:13]12[C:6]([CH2:1][CH:2]([CH3:7])[CH3:3])=[N:11][CH2:10][CH:9]1[CH2:8][CH2:7][c:2]1[c:1]2[cH:6][cH:5][cH:4][cH:3]1
