,raw_ractions,transformed_reactions,automap
20,c1(OC(C)=O)c(OC)cc(OC(C)=O)cc1OC>>c1(OC)c(O)c(OC)cc(O)c1C(C)=O,c1(c(OC)cc(OC(=O)C)cc1OC)OC(=O)C>>c1(c(C(=O)C)c(O)cc(OC)c1O)OC,[c:1]1([c:16]([O:17][CH3:18])[cH:15][c:10]([O:11]C(=O)C)[cH:9][c:6]1[O:7][CH3:8])[O:2]C(=O)C>>[c:16]1([c:15](C(=O)C)[c:10]([OH:11])[cH:9][c:6]([O:7][CH3:8])[c:1]1[OH:2])[O:17][CH3:18]
21,C1(=O)CCC(=O)O1.c1(ccccc1OC)C(C)C>>c1(C(C)C)cc(C(=O)CCC(=O)O)ccc1OC,C1(OC(=O)CC1)=O.c1(C(C)C)c(OC)cccc1>>c1(c(OC)ccc(C(CCC(O)=O)=O)c1)C(C)C,[C:1]1([O:7][C:5](=[O:6])[CH2:4][CH2:3]1)=[O:2].[c:8]1([CH:16]([CH3:18])[CH3:17])[c:13]([O:14][CH3:15])[cH:12][cH:11][cH:10][cH:9]1>>[c:8]1([c:13]([O:14][CH3:15])[cH:12][cH:11][c:10]([C:5]([CH2:4][CH2:3][C:1]([OH:7])=[O:2])=[O:6])[cH:9]1)[CH:16]([CH3:17])[CH3:18]
22,c1(OC)ccccc1OC.c1(ccccc1)C(=O)OC(=O)c2ccccc2>>c1(ccc(OC)c(OC)c1)C(=O)c2ccccc2,c1(c(OC)cccc1)OC.c1(C(OC(c2ccccc2)=O)=O)ccccc1>>c1(C(c2ccccc2)=O)cc(OC)c(OC)cc1,[c:1]1([c:8]([O:9][CH3:10])[cH:7][cH:6][cH:5][cH:4]1)[O:2][CH3:3].[c:11]1([C:17](O[C:17]([c:11]2[cH:16][cH:15][cH:14][cH:13][cH:12]2)=[O:18])=[O:18])[cH:16][cH:15][cH:14][cH:13][cH:12]1>>[c:6]1([C:17]([c:11]2[cH:16][cH:15][cH:14][cH:13][cH:12]2)=[O:18])[cH:7][c:8]([O:9][CH3:10])[c:1]([O:2][CH3:3])[cH:4][cH:5]1
23,c1(C)cc(Br)cc(C)c1OC.c1(nccnc1C#N)C(=O)OC>>c1(cc(C)c(OC)c(C)c1)C(=O)c2nccnc2C#N,c1(c(OC)c(C)cc(Br)c1)C.c1(C(OC)=O)c(C#N)nccn1>>c1(C(c2c(C#N)nccn2)=O)cc(C)c(OC)c(C)c1,[c:1]1([c:9]([O:10][CH3:11])[c:7]([CH3:8])[cH:6][c:4](Br)[cH:3]1)[CH3:2].[c:12]1([C:20](OC)=[O:21])[c:17]([C:18]#[N:19])[n:16][cH:15][cH:14][n:13]1>>[c:4]1([C:20]([c:12]2[c:17]([C:18]#[N:19])[n:16][cH:15][cH:14][n:13]2)=[O:21])[cH:6][c:7]([CH3:8])[c:9]([O:10][CH3:11])[c:1]([CH3:2])[cH:3]1
24,c1(c(OC)cc(OC)cc1OC)c2ccnn2C.C(C)(=O)OC(C)=O>>c1(c(OC)cc(OC)c(C(C)=O)c1O)c2ccnn2C,c1(-c2[n](C)ncc2)c(OC)cc(OC)cc1OC.C(OC(=O)C)(=O)C>>c1(-c2[n](C)ncc2)c(O)c(C(=O)C)c(OC)cc1OC,[c:1]1(-[c:13]2[n:17]([CH3:18])[n:16][cH:15][cH:14]2)[c:10]([O:11][CH3:12])[cH:9][c:6]([O:7][CH3:8])[cH:5][c:2]1[O:3]C.[C:19](OC(=O)C)(=[O:21])[CH3:20]>>[c:1]1(-[c:13]2[n:17]([CH3:18])[n:16][cH:15][cH:14]2)[c:2]([OH:3])[c:5]([C:19](=[O:21])[CH3:20])[c:6]([O:7][CH3:8])[cH:9][c:10]1[O:11][CH3:12]
25,C1(=O)OC(=O)CC1=C.c1(OC)ccccc1>>c1(ccc(OC)cc1)C(=O)CC(=C)C(=O)O,C1(C(=C)CC(=O)O1)=O.c1(ccccc1)OC>>c1(C(CC(C(O)=O)=C)=O)ccc(OC)cc1,[C:1]1([C:7](=[CH2:8])[CH2:6][C:4](=[O:5])[O:3]1)=[O:2].[c:9]1([cH:16][cH:15][cH:14][cH:13][cH:12]1)[O:10][CH3:11]>>[c:14]1([C:4]([CH2:6][C:7]([C:1]([OH:3])=[O:2])=[CH2:8])=[O:5])[cH:15][cH:16][c:9]([O:10][CH3:11])[cH:12][cH:13]1
26,c1(OC)cc(CCNC(C)=O)ccc1OC.C(C)(=O)OC(C)=O>>c1(C(C)=O)cc(OC)c(OC)cc1CCNC(C)=O,c1(c(OC)ccc(CCNC(=O)C)c1)OC.C(OC(=O)C)(=O)C>>c1(c(CCNC(=O)C)cc(OC)c(OC)c1)C(=O)C,[c:1]1([c:14]([O:15][CH3:16])[cH:13][cH:12][c:5]([CH2:6][CH2:7][NH:8][C:9](=[O:11])[CH3:10])[cH:4]1)[O:2][CH3:3].[C:17](OC(=O)C)(=[O:19])[CH3:18]>>[c:12]1([c:5]([CH2:6][CH2:7][NH:8][C:9](=[O:11])[CH3:10])[cH:4][c:1]([O:2][CH3:3])[c:14]([O:15][CH3:16])[cH:13]1)[C:17](=[O:19])[CH3:18]
27,C(C)(=O)OC(C)=O.c1(c(OC)cc(OC)cc1OC)C2=CCN(C)CC2>>c1(C2=CCN(C)CC2)c(OC)cc(OC)c(C(C)=O)c1O,C(OC(=O)C)(=O)C.c1(C2CCN(C)CC=2)c(OC)cc(OC)cc1OC>>c1(c(O)c(C(=O)C)c(OC)cc1OC)C1CCN(C)CC=1,[C:1](OC(=O)C)(=[O:3])[CH3:2].[c:8]1([C:20]2[CH2:26][CH2:25][N:23]([CH3:24])[CH2:22][CH:21]=2)[c:17]([O:18][CH3:19])[cH:16][c:13]([O:14][CH3:15])[cH:12][c:9]1[O:10]C>>[c:8]1([c:9]([OH:10])[c:12]([C:1](=[O:3])[CH3:2])[c:13]([O:14][CH3:15])[cH:16][c:17]1[O:18][CH3:19])[C:20]1[CH2:26][CH2:25][N:23]([CH3:24])[CH2:22][CH:21]=1
28,C1(C)(C)OC(=O)\C(=C\Nc2ccc(C(=O)OC)c(OC)c2)\C(=O)O1>>c12c(NC=CC1=O)cc(OC)c(C(=O)OC)c2,C1(OC(=O)/C(=C\Nc2cc(OC)c(C(OC)=O)cc2)/C(=O)O1)(C)C>>c12cc(C(OC)=O)c(OC)cc1NC=CC2=O,C1(O[C:22](=[O:23])/[C:7](=[CH:8]\[NH:9][c:10]2[cH:21][c:18]([O:19][CH3:20])[c:13]([C:14]([O:16][CH3:17])=[O:15])[cH:12][cH:11]2)/C(=O)O1)(C)C>>[c:11]12[cH:12][c:13]([C:14]([O:16][CH3:17])=[O:15])[c:18]([O:19][CH3:20])[cH:21][c:10]1[NH:9][CH:8]=[CH:7][C:22]2=[O:23]
29,c1(OC)c(OC)cc(O)cc1OC.C(C)(=O)OC(C)=O>>c1(OC)c(OC)c(OC)cc(O)c1C(C)=O,c1(c(OC)cc(O)cc1OC)OC.C(OC(=O)C)(=O)C>>c1(c(C(=O)C)c(O)cc(OC)c1OC)OC,[c:1]1([c:11]([O:12][CH3:13])[cH:10][c:8]([OH:9])[cH:7][c:4]1[O:5][CH3:6])[O:2][CH3:3].[C:14](OC(=O)C)(=[O:16])[CH3:15]>>[c:11]1([c:10]([C:14](=[O:16])[CH3:15])[c:8]([OH:9])[cH:7][c:4]([O:5][CH3:6])[c:1]1[O:2][CH3:3])[O:12][CH3:13]
30,c1(OC)cccc(Br)c1.C(C)(=O)OC(C)=O>>c1(Br)cc(OC)ccc1C(C)=O,c1(cc(Br)ccc1)OC.C(OC(=O)C)(=O)C>>c1(c(C(=O)C)ccc(OC)c1)Br,[c:1]1([cH:9][c:7]([Br:8])[cH:6][cH:5][cH:4]1)[O:2][CH3:3].[C:10](OC(=O)C)(=[O:12])[CH3:11]>>[c:7]1([c:6]([C:10](=[O:12])[CH3:11])[cH:5][cH:4][c:1]([O:2][CH3:3])[cH:9]1)[Br:8]
31,C(=O)(OCC)C(F)(F)F.c1(C)cc(OC)cc(C)c1Br>>c1(c(C)cc(OC)cc1C)C(=O)C(F)(F)F,C(C(F)(F)F)(OCC)=O.c1(c(Br)c(C)cc(OC)c1)C>>c1(C(C(F)(F)F)=O)c(C)cc(OC)cc1C,[C:1]([C:6]([F:9])([F:8])[F:7])(OCC)=[O:2].[c:10]1([c:19](Br)[c:17]([CH3:18])[cH:16][c:13]([O:14][CH3:15])[cH:12]1)[CH3:11]>>[c:19]1([C:1]([C:6]([F:7])([F:8])[F:9])=[O:2])[c:17]([CH3:18])[cH:16][c:13]([O:14][CH3:15])[cH:12][c:10]1[CH3:11]
32,c1(ccccc1)C(=O)Oc2ccccc2.c1(ccc(OC)cc1)B(O)O>>C(=O)(c1ccccc1)c2ccc(OC)cc2,c1(C(Oc2ccccc2)=O)ccccc1.c1(B(O)O)ccc(OC)cc1>>C(c1ccc(OC)cc1)(c1ccccc1)=O,[c:1]1([C:7](Oc2ccccc2)=[O:8])[cH:6][cH:5][cH:4][cH:3][cH:2]1.[c:16]1(B(O)O)[cH:23][cH:22][c:19]([O:20][CH3:21])[cH:18][cH:17]1>>[C:7]([c:16]1[cH:23][cH:22][c:19]([O:20][CH3:21])[cH:18][cH:17]1)([c:1]1[cH:6][cH:5][cH:4][cH:3][cH:2]1)=[O:8]
33,C1(=O)CCC(=O)O1.c1(OC)cc(C)cc(OC)c1>>c1(C(=O)CCC(=O)O)c(C)cc(OC)cc1OC,C1(OC(=O)CC1)=O.c1(cc(OC)cc(C)c1)OC>>c1(c(OC)cc(OC)cc1C)C(CCC(O)=O)=O,[C:1]1([O:7][C:5](=[O:6])[CH2:4][CH2:3]1)=[O:2].[c:8]1([cH:18][c:15]([O:16][CH3:17])[cH:14][c:12]([CH3:13])[cH:11]1)[O:9][CH3:10]>>[c:11]1([c:8]([O:9][CH3:10])[cH:18][c:15]([O:16][CH3:17])[cH:14][c:12]1[CH3:13])[C:5]([CH2:4][CH2:3][C:1]([OH:7])=[O:2])=[O:6]
34,C1(=O)CCC(=O)O1.c12c(CCCC1)cccc2OC>>c12c(CCCC1)c(OC)ccc2C(=O)CCC(=O)O,C1(OC(=O)CC1)=O.c12c(OC)cccc1CCCC2>>c12c(C(CCC(O)=O)=O)ccc(OC)c1CCCC2,[C:1]1([O:7][C:5](=[O:6])[CH2:4][CH2:3]1)=[O:2].[c:8]12[c:17]([O:18][CH3:19])[cH:16][cH:15][cH:14][c:9]1[CH2:10][CH2:11][CH2:12][CH2:13]2>>[c:9]12[c:14]([C:5]([CH2:4][CH2:3][C:1]([OH:7])=[O:2])=[O:6])[cH:15][cH:16][c:17]([O:18][CH3:19])[c:8]1[CH2:13][CH2:12][CH2:11][CH2:10]2
35,C(C)(=O)OC(C)=O.c1(OC)cccc(OC)c1>>c1(C(C)=O)ccc(OC)cc1OC,C(OC(=O)C)(=O)C.c1(cc(OC)ccc1)OC>>c1(c(OC)cc(OC)cc1)C(=O)C,[C:1](OC(=O)C)(=[O:3])[CH3:2].[c:8]1([cH:17][c:14]([O:15][CH3:16])[cH:13][cH:12][cH:11]1)[O:9][CH3:10]>>[c:13]1([c:14]([O:15][CH3:16])[cH:17][c:8]([O:9][CH3:10])[cH:11][cH:12]1)[C:1](=[O:3])[CH3:2]
36,c1(c(OC)cc(OC)cc1OC)C2CCN(C)C2CO.C(C)(=O)OC(C)=O>>c1(c(OC)cc(OC)c(C(C)=O)c1O)C2CCN(C)C2COC(C)=O,c1(C2C(CO)N(C)CC2)c(OC)cc(OC)cc1OC.C(OC(=O)C)(=O)C>>c1(C2C(COC(=O)C)N(C)CC2)c(O)c(C(=O)C)c(OC)cc1OC,[c:1]1([CH:13]2[CH:18]([CH2:19][OH:20])[N:16]([CH3:17])[CH2:15][CH2:14]2)[c:10]([O:11][CH3:12])[cH:9][c:6]([O:7][CH3:8])[cH:5][c:2]1[O:3]C.[C:21](OC(=O)C)(=[O:23])[CH3:22]>>[c:1]1([CH:13]2[CH:18]([CH2:19][O:20]C(=O)C)[N:16]([CH3:17])[CH2:15][CH2:14]2)[c:2]([OH:3])[c:5]([C:21](=[O:23])[CH3:22])[c:6]([O:7][CH3:8])[cH:9][c:10]1[O:11][CH3:12]
37,c1(ccc(OC)cc1)B(O)O.c1(cccc(C)c1)C(=O)OC(=O)c2cccc(C)c2>>C(=O)(c1cccc(C)c1)c2ccc(OC)cc2,c1(B(O)O)ccc(OC)cc1.c1(C(OC(c2cc(C)ccc2)=O)=O)cc(C)ccc1>>C(c1ccc(OC)cc1)(c1cc(C)ccc1)=O,[c:1]1(B(O)O)[cH:8][cH:7][c:4]([O:5][CH3:6])[cH:3][cH:2]1.[c:12]1([C:19](O[C:19]([c:12]2[cH:18][c:16]([CH3:17])[cH:15][cH:14][cH:13]2)=[O:20])=[O:20])[cH:18][c:16]([CH3:17])[cH:15][cH:14][cH:13]1>>[C:19]([c:1]1[cH:8][cH:7][c:4]([O:5][CH3:6])[cH:3][cH:2]1)([c:12]1[cH:18][c:16]([CH3:17])[cH:15][cH:14][cH:13]1)=[O:20]
